plan_name_upper,plan_domain,lines,carrier_group,carrier_parent,carrier_type,resolved_from,submitter_group,submitter_type
AETNA,aetna.com,1259546,Aetna,CVS Health,Carrier,name,Aetna,Carrier
UNITED HEALTHCARE,uhc.com,1106594,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
UNITEDHEALTHCARE,uhc.com,459257,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BCBSTX,bcbstx.com,388673,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
CIGNA,cigna.com,303785,Cigna,Cigna,Carrier,name,Cigna,Carrier
BLUE CROSS AND BLUE SHIELD OF TEXAS,bcbstx.com,289164,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
CIGNA,multiplan.com,276705,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BCBS OF TEXAS,bcbstx.com,256150,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
UMR,clearhs.com,221713,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
CIGNA HEALTHCARE,multiplan.com,159362,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BLUECROSS BLUESHIELD OF TEXAS,bcbstx.com,141922,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
UMR,clearhealthcloud.com,133877,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
ANTHEM BLUE CROSS BLUE SHIELD,anthem.com,110876,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
FLORIDA BLUE,bcbsfl.com,94403,Florida Blue,GuideWell,Blues licensee,domain,Blues plan,Blues licensee
AETNA HEALTH PLANS,aetna.com,92796,Aetna,CVS Health,Carrier,name,Aetna,Carrier
BLUE CROSS BLUE SHIELD OF TEXAS,bcbstx.com,72873,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
AMBETTER,centene.com,68108,Centene,Centene,Carrier,name,Centene,Carrier
BCBS OF TX,bcbstx.com,65913,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
BLUE CROSS,anthem.com,63770,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
UNITED HEALTHCARE INSURANCE COMPANY,uhc.com,61124,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
UHC,uhc.com,60213,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BLUECROSS BLUESHIELD,bcbstx.com,58011,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
"UMR, INC.",clearhs.com,54272,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
CIGNA HEALTHCARE,cigna.com,54115,Cigna,Cigna,Carrier,name,Cigna,Carrier
BLUECROSS BLUESHIELD OF TENNESSEE,bcbst.com,54103,BCBS Tennessee,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS,bcbstx.com,52851,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
ANTHEM VIRGINIA,anthem.com,50147,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
BLUE CROSS AND BLUE SHIELD OF ARIZONA,azblue.com,47820,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BLUE CROSS BLUE SHIELD OF ARIZONA,azblue.com,43871,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BLUE CROSS BLUE SHIELD,bcbstx.com,38763,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
CIGNA HEALTH AND LIFE INSURANCE COMPANY,multiplan.com,38179,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BLUECROSS BLUESHIELD OF NEW MEXICO,bcbsnm.com,37772,BCBS New Mexico,HCSC,Blues licensee,name,Blues plan,Blues licensee
AMBETTER PEACH STATE,centene.com,36334,Centene,Centene,Carrier,name,Centene,Carrier
BCBS OF TX,bcbsil.com,36274,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
BCBS TX,bcbstx.com,34930,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
CIGNA,zelis.com,33374,Cigna,Cigna,Carrier,name,Zelis,Repricing vendor
UNITEDHEALTHCARE UHC,uhc.com,32853,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BCBSOK,bcbsil.com,28723,BCBS Oklahoma,HCSC,Blues licensee,name,Blues plan,Blues licensee
BCBS FL,bcbsfl.com,28703,Florida Blue,GuideWell,Blues licensee,name,Blues plan,Blues licensee
"RMHMS, INC NV DBA ANTHEM BCBS",anthem.com,28193,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
KAISER PERMANENTE,multiplan.com,28160,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
UNITED HEALTH CARE,uhc.com,27816,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BCBSAZ,azblue.com,26864,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
"UNITED HEALTHCARE SERVICES, INC.",uhc.com,26311,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
ARKANSAS BLUE CROSS AND BLUE SHIELD,multiplan.com,24268,BCBS Kansas,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
MULTIPLAN ON BEHALF OF CIGNA,multiplan.com,23572,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
MERITAIN HEALTH,clearhs.com,23421,Aetna,CVS Health,Carrier,name,ClearHealth Strategies,Repricing vendor
CIGNA HEALTH PLANS,multiplan.com,21658,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
HORIZON,multiplan.com,21240,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
