provider_domain,lines,distinct_npis,filer_group,filer_type
halomd.com,1067504,725,HaloMD,IDR specialist
saparm.com,802057,4,Singleton Associates,Radiology group
teamhealth.com,787572,155,TeamHealth,Physician group
fam-llc.com,597768,243,F&A Management,RCM / billing vendor
envisionhealth.com,418293,9614,Envision Healthcare,Physician group
primehealthcare.com,353720,303,Prime Healthcare,Hospital / health system
totalcare.us,306313,30,TotalCare ER,Emergency dept operator
agshealth.com,285382,348,AGS Health,RCM / billing vendor
bmhcc.org,233600,30,Baptist Memorial Health,Hospital / health system
scp-health.com,231891,414,SCP Health,Physician group
sonoranrm.com,215294,9,Sonoran Radiology,Radiology group
mbbrm.com,151020,1,"Mori, Bean & Brooks",Radiology group
qmacsmso.com,136051,88,QMACS MSO,RCM / billing vendor
radpmg.com,114534,127,Houston Radiology Associated,Radiology group
radixhealth.io,110408,719,Radix Health,RCM / billing vendor
altushealthsystem.com,108176,67,Altus Community Healthcare,Emergency dept operator
erevenuebilling.com,93752,31,eRevenue,RCM / billing vendor
mdcapitaladvisors.com,93106,1215,MD Capital Advisors,RCM / billing vendor
empireradrm.com,92145,2,Empire State Radiology,Radiology group
specialtycare.net,91955,8,SpecialtyCare,Neuromonitoring (IONM)
usap.com,84980,7,US Anesthesia Partners,Anesthesia group
zotecpartners.com,81091,44,Zotec Partners,RCM / billing vendor
iairm.com,79274,2,Imaging Associates of Indiana,Radiology group
ventrahealth.com,79202,119,Ventra Health,RCM / billing vendor
orthomedstaffing.com,75535,8,OrthoMed Staffing,Anesthesia group
gottliebandgreenspan.com,71736,639,Gottlieb & Greenspan,Law firm
callagyrecovery.com,69047,299,Callagy Law,Law firm
vituity.com,63418,271,Vituity,Physician group
roundtmc.com,62009,39,Round Table Physicians,Physician group
hcahealthcare.com,60776,263,HCA Healthcare,Hospital / health system
usacs.com,55321,67,US Acute Care Solutions,Physician group
callagylaw.com,51738,798,Callagy Law,Law firm
rightmedicalbilling.com,45812,55,Right Medical Billing,RCM / billing vendor
soundphysicians.com,44619,34,Sound Physicians,Physician group
apollomd.com,42406,58,ApolloMD,Physician group
nmaiom.com,41787,22,NMA IONM,Neuromonitoring (IONM)
complete.care,40612,52,Complete Care,Emergency dept operator
commonspirit.org,39288,111,CommonSpirit Health,Hospital / health system
r1rcm.com,38638,91,R1 RCM,RCM / billing vendor
gmail.com,32419,496,Individual practitioner (free email),Individual
scphealth.com,31536,239,SCP Health,Physician group
forthesurgeons.com,27851,405,East Coast Advanced Plastic Surgery,Physician group
radalliancerm.com,26482,2,Radiology Alliance,Radiology group
aimbillingsolutions.com,25620,32,AIM Billing Solutions,RCM / billing vendor
halkovichlaw.com,23389,176,Halkovich Law,Law firm
memorialvillageer.com,23060,11,Memorial Village ER,Emergency dept operator
adventhealth.com,22697,47,AdventHealth,Hospital / health system
simplexmed.com,22517,65,Simplex Med,RCM / billing vendor
legacyhealthllc.com,21724,16,Legacy ER,Emergency dept operator
summit-az.com,20954,119,Summit Anesthesia Partners,Anesthesia group
nosurprisebill.com,20484,47,No Surprise Bill,IDR specialist
redrockrad.com,20350,5,Radiology Specialists,Radiology group
provanesthesiology.com,19068,12,Providence Anesthesiology,Anesthesia group
gryphonhc.com,19056,28,Gryphon Healthcare,RCM / billing vendor
wellstar.org,18820,13,Wellstar,Hospital / health system
unitedionm.com,18434,82,United IONM,Neuromonitoring (IONM)
anesthesiadynamics.com,17765,25,Anesthesia Dynamics,Anesthesia group
pediatrix.com,16456,423,Pediatrix Medical Group,Physician group
smirm.com,16334,1,Specialists in Medical Imaging,Radiology group
logixhealth.com,12866,27,LogixHealth,RCM / billing vendor
ftpbilling.com,12693,8,FTP Billing,RCM / billing vendor
neighborshealth.com,12643,14,Neighbors Health,Emergency dept operator
alldatahealth.com,12364,119,AllData Health,RCM / billing vendor
omsmedbilling.com,12294,9,OrthoMed Staffing,Anesthesia group
preferredbillingaz.com,12287,208,Preferred Billing AZ,RCM / billing vendor
americaser.com,11440,21,America's ER,Emergency dept operator
heightsrcm.com,11239,4,Heights RCM,RCM / billing vendor
saintfrancis.com,10047,5,Saint Francis Health,Hospital / health system
collaborativeimaging.com,8823,1,Collaborative Imaging,Radiology group
victoriaemergency.com,8779,3,Victoria Emergency Partners,Emergency dept operator
bellaireer.com,8015,10,Bellaire ER,Emergency dept operator
syntechhealth.com,7008,6,Sun City Emergency Room,Emergency dept operator
natera.com,6721,5,Natera,Physician group
totalpointcare.com,6578,19,Total Point ER,Emergency dept operator
idrnsa.com,6143,12,IDR NSA,IDR specialist
afslaw.com,5428,198,ArentFox Schiff,Law firm
islandprofessionalbilling.com,5363,59,Island Professional Billing,RCM / billing vendor
premierchoicebill.com,4842,76,Premier Choice Billing,RCM / billing vendor
em-specialists.org,4767,11,EM Specialists,Physician group
neuroendomke.com,4733,12,Spine & Brain Institute of Wisconsin,Neuromonitoring (IONM)
onet-systems.com,4570,55,ONET Systems,RCM / billing vendor
epiomneuro.com,4550,39,EPIOM Neuro,Neuromonitoring (IONM)
usrcm.net,4408,81,US RCM,RCM / billing vendor
macservicesllc.com,4331,74,MAC Services,RCM / billing vendor
brownphysicians.org,3951,1,Brown Emergency Medicine,Physician group
healthworksbetter.com,3883,11,HealthWorks,RCM / billing vendor
tenethealth.com,3743,35,Tenet Healthcare,Hospital / health system
medhealthfinancial.com,3731,5,MedHealth Financial,RCM / billing vendor
accessradrm.com,3691,1,Radiology Associates of Southwest,Radiology group
racrm.com,3505,1,Radiology Associates of Canton,Radiology group
bergenanesthesiagroup.com,3480,2,Bergen Anesthesia,Anesthesia group
civie.com,3437,1,Collaborative Imaging,Radiology group
clearchoiceer.com,3182,2,Clear Choice ER,Emergency dept operator
saguaroanesthesia.com,2880,5,Saguaro Anesthesia,Anesthesia group
longislandbrainandspine.com,2848,16,Long Island Brain & Spine,Physician group
assa-nj.com,2822,5,Atlantic Shore Surgical,Physician group
shands.ufl.edu,2788,3,UF Health Shands,Hospital / health system
midstateradrm.com,2762,1,Murfreesboro Radiology,Radiology group
ecp.net,2712,15,Illinois Emergency Medicine Specialists,Physician group
wincherbilling.com,2611,10,Sun City Emergency Room,Emergency dept operator
elitebillingllc.com,2570,8,East Coast Advanced Plastic Surgery,Physician group
aol.com,2535,33,Individual practitioner (free email),Individual
prestigemedicalbill.com,2526,9,Prestige Medical Billing,RCM / billing vendor
jphealth.net,2518,2,JP Health,RCM / billing vendor
ihcsaz.com,2394,4,Fountain Hills Medical Center,Emergency dept operator
sbsbilling.com,2392,9,SBS Billing,RCM / billing vendor
wolfepincavage.com,2344,35,Wolfe Pincavage,Law firm
magmemphis.com,2337,1,Medical Anesthesia Group,Anesthesia group
ascentemc.com,1968,2,Ascent Emergency,Emergency dept operator
glynnlegal.com,1943,22,Glynn Legal,Law firm
vipmedicalmanagement.com,1938,5,VIP Medical Management,RCM / billing vendor
integrityrcmcorp.com,1927,23,Integrity RCM,RCM / billing vendor
nsabilling.com,1709,47,NSA Billing,RCM / billing vendor
swiftstar.com,1697,3,Swift Star,RCM / billing vendor
medbill-assoc.com,1684,31,MedBill Associates,RCM / billing vendor
uickc.com,1517,2,United Imaging Consultants,RCM / billing vendor
karisbilling.us,1514,8,Karis Billing,RCM / billing vendor
expresserbilling.com,1484,4,Express ER Billing,RCM / billing vendor
gbmc.org,1457,1,Greater Baltimore Medical Center,Hospital / health system
mlsmedbill.com,1454,21,MLS Medical Billing,RCM / billing vendor
prevailrcm.com,1401,11,Prevail RCM,RCM / billing vendor
mlanesthesia.com,1365,13,ML Anesthesia,Anesthesia group
usneuro.net,1308,15,Advanced Neuro Solutions,Neuromonitoring (IONM)
khcfirm.com,1270,66,KHC Firm,Law firm
texashealth.org,1242,26,Texas Health Resources,Hospital / health system
neurologiciom.com,1234,3,Neurologic IOM,Neuromonitoring (IONM)
apexionm.com,1178,11,Apex IONM,Neuromonitoring (IONM)
stormontvail.org,1167,3,Stormont Vail Health,Hospital / health system
njbrainspinebilling.com,1166,37,NJ Brain & Spine Billing,RCM / billing vendor
ansmonitoring.com,1162,10,Advanced Neuro Solutions,Neuromonitoring (IONM)
yahoo.com,1152,37,Individual practitioner (free email),Individual
maineneonatology.com,1134,4,,
paragonanesthesia.com,1133,3,,
kyleer.com,1115,2,,
lhs.org,1107,7,,
zanexmed.com,1075,3,,
hkanesthesia.com,1051,3,,
atlanticneurocare.com,1044,7,,
sycamoremm.com,1007,5,,
practicemax.com,994,38,,
chsli.org,958,11,,
globusmedical.com,946,3,,
recoveryspecialist.org,917,3,,
spinepainsolutions.com,911,3,,
christushealth.org,900,22,CHRISTUS Health,Hospital / health system
bjc.org,894,12,,
lonestar24hrer.com,860,2,,
pelmed.com,832,20,Hudson Regional billing,RCM / billing vendor
agilityrcm.com,832,33,,
solestra.net,771,12,,
mmbcontact.com,770,29,,
smsneuro.com,767,8,,
arbcollections.com,759,65,,
northwell.edu,738,84,,
md-management.net,704,85,,
nwrcm.com,683,15,,
uniteddx.com,675,26,,
cityorthosports.com,673,3,,
ipsmed.com,672,5,,
ssmhealth.com,640,21,,
